OBJECTID,Shape,Join_Count,TARGET_FID,Crash_Year,Crash_Street,Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Crash_Street,Crash_Street_Intersecting,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other,Shape_Length,Shape_Area
22,Polygon,1,22,2,Buccleugh St,139419,Hospitalisation,2002,June,Tuesday,10,Sideswipe,Multi-Vehicle,153.138347,-26.789191,Buccleugh St,<Null>,Moffat Beach,Sunshine Coast Region,4551,Caloundra,Sunshine Coast,Central,SEQ North,North Coast and Wide Bay/Burnett,Moffat Beach - Battery Hill,Caloundra,Sunshine Coast,Major Cities,Caloundra,Fisher,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,308,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,0,1,0,0,1,1,1,0,0,0,0,0,0.001198,0
23,Polygon,1,23,2,Cleveland Sub-Arterial Rd,101266,Hospitalisation,2002,January,Tuesday,16,Angle,Multi-Vehicle,153.142384,-27.508431,Cleveland Sub-Arterial Rd,<Null>,Chandler,Brisbane City,4155,Capalaba,South Brisbane,Brisbane,SEQ South,Metropolitan,Belmont - Gumdale,Capalaba,Brisbane - East,Major Cities,Chatsworth,Bonner,State-controlled,Median Opening,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Dip,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,0,1,2,2,0,0,0,0,0,0,0.001202,0
24,Polygon,1,24,2,Discovery Dr,145129,Hospitalisation,2002,May,Tuesday,21,Hit parked vehicle,Single Vehicle,153.335889,-27.920033,Discovery Dr,<Null>,Helensvale,Gold Coast City,4212,Coomera,Gold Coast,South Eastern,SEQ South,South Coast,Helensvale,Ormeau - Oxenford,Gold Coast,Major Cities,Theodore,Fadden,Locally-controlled,Merge Lane,No traffic control,60 km/h,Sealed - Wet,Raining,Darkness - Lighted,Curved - view open,Level,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,0,1,1,0,2,2,0,0,0,0,0,0,0.001205,0
25,Polygon,14,25,2,Emu Creek Rd,72399,Hospitalisation,2002,December,Friday,13,Hit object,Single Vehicle,0,0,Forestry Rd,<Null>,Unknown,Unknown,<Null>,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Wet,Clear,Daylight,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001131,0
26,Polygon,1,26,2,Evans Ave,260207,Hospitalisation,2002,November,Tuesday,16,Angle,Multi-Vehicle,149.18808,-21.125082,Evans Ave,<Null>,North Mackay,Mackay Region,4740,Mackay,Mackay,Central,Central,Central Queensland,North Mackay,Mackay,Mackay - Isaac - Whitsunday,Inner Regional,Mackay,Dawson,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,0,1,0,0,1,1,0,0,0,0,0,1,0.001171,0
27,Polygon,1,27,2,Flinders St E,279746,Hospitalisation,2002,December,Thursday,6,Angle,Multi-Vehicle,146.81961,-19.257674,Flinders St E,<Null>,Townsville City,Townsville City,4810,Townsville,Townsville,Northern,Northern,North Queensland,Townsville City - North Ward,Townsville,Townsville,Outer Regional,Townsville,Herbert,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,308,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,0,1,0,0,1,1,0,1,0,0,0,0,0.001164,0
28,Polygon,1,28,2,Hamilton Rd,65896,Hospitalisation,2002,July,Wednesday,15,Angle,Multi-Vehicle,152.988893,-27.379631,Hamilton Rd,<Null>,Mcdowall,Brisbane City,4053,Albany Creek,North Brisbane,Brisbane,SEQ North,Metropolitan,Mcdowall,Bald Hills - Everton Park,Brisbane - North,Major Cities,Aspley,Lilley,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,400,Veh'S Manoeuvring: Other,Other,0,1,0,0,1,1,0,0,0,1,0,0,0.001202,0
29,Polygon,14,29,2,Hornsby Rd,72399,Hospitalisation,2002,December,Friday,13,Hit object,Single Vehicle,0,0,Forestry Rd,<Null>,Unknown,Unknown,<Null>,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Wet,Clear,Daylight,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001131,0
30,Polygon,2,30,2,Lamington National Park Rd,140981,Hospitalisation,2002,June,Sunday,19,Hit object,Single Vehicle,153.151816,-28.032413,Lamington National Park Rd,<Null>,Canungra,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,Forestry/National Park Road,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Level,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,0,2,0,0,2,1,0,0,0,0,0,0,0.002411,0
31,Polygon,1,31,2,Logan Rd,44728,Fatal,2002,March,Monday,16,Angle,Multi-Vehicle,153.080536,-27.558728,Logan Rd,<Null>,Upper Mount Gravatt,Brisbane City,4122,Upper Mount Gravatt,South Brisbane,Brisbane,SEQ South,Metropolitan,Upper Mount Gravatt,Mt Gravatt,Brisbane - South,Major Cities,Mansfield,Bonner,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,207,Veh'S Opposite Approach: U-Turn,U-turn,1,0,0,0,1,1,1,0,0,0,0,0,0.001203,0
32,Polygon,1,32,2,Markeri St,134436,Fatal,2002,July,Saturday,17,Hit object,Single Vehicle,153.426067,-28.047918,Markeri St,<Null>,Mermaid Waters,Gold Coast City,4218,Broadbeach,Gold Coast,South Eastern,SEQ South,South Coast,Mermaid Waters,Broadbeach - Burleigh,Gold Coast,Major Cities,Mermaid Beach,Moncrieff,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,201,Veh'S Opposite Approach: Head On,Head-on,1,0,0,0,1,1,1,0,0,0,0,0,0.001206,0
33,Polygon,1,33,2,Maroochydore Rd,152644,Hospitalisation,2002,May,Friday,6,Rear-end,Multi-Vehicle,153.002475,-26.673732,Maroochydore Rd,<Null>,Forest Glen,Sunshine Coast Region,4556,Maroochydore,Sunshine Coast,Central,SEQ North,North Coast and Wide Bay/Burnett,Diddillibah - Rosemount,Nambour,Sunshine Coast,Major Cities,Ninderry,Fairfax,State-controlled,Merge Lane,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,408,Veh'S Manoeuvring: Entering From Footway,Vehicle leaving driveway,0,1,0,2,3,1,0,1,0,0,0,0,0.001198,0
34,Polygon,1,34,2,Melbourne St,52187,Hospitalisation,2002,March,Saturday,18,Hit pedestrian,Hit pedestrian,153.018486,-27.473811,Melbourne St,<Null>,South Brisbane,Brisbane City,4101,West End,South Brisbane,Brisbane,SEQ South,Metropolitan,South Brisbane,Brisbane Inner,Brisbane Inner City,Major Cities,South Brisbane,Griffith,State-controlled,Median Opening,Operating traffic lights,0 - 50 km/h,Sealed - Wet,Raining,Dawn/Dusk,Straight,Level,1,Ped'N: Near Side Vehicle Hit From Right,Pedestrian,0,1,0,0,1,1,0,0,0,0,1,0,0.001202,0
35,Polygon,1,35,2,Mt Lindesay Art. Rd,307207,Hospitalisation,2002,June,Sunday,10,Overturned,Single Vehicle,153.051436,-27.611231,Mt Lindesay Art. Rd,<Null>,Calamvale,Brisbane City,4116,Calamvale,South Brisbane,Brisbane,SEQ South,Metropolitan,Calamvale - Stretton,Rocklea - Acacia Ridge,Brisbane - South,Major Cities,Stretton,Rankin,State-controlled,Merge Lane,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,701,Off Path-Straight: Left Off Cway,Off carriageway on straight,0,3,0,0,3,1,0,0,0,0,0,0,0.001203,0
36,Polygon,1,36,2,Philip St,243271,Hospitalisation,2002,September,Tuesday,17,Angle,Multi-Vehicle,151.242387,-23.870551,Philip St,<Null>,West Gladstone,Gladstone Region,4680,Gladstone,Capricornia,Central,Central,Central Queensland,West Gladstone,Gladstone,Central Queensland,Inner Regional,Gladstone,Flynn,State-controlled,Median Opening,Give way sign,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,406,Veh'S Manoeuvring: Leaving Driveway,Vehicle leaving driveway,0,1,0,0,1,1,0,1,0,0,0,0,0.001183,0
37,Polygon,14,37,2,Scenic Forestry Dr,72399,Hospitalisation,2002,December,Friday,13,Hit object,Single Vehicle,0,0,Forestry Rd,<Null>,Unknown,Unknown,<Null>,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Wet,Clear,Daylight,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001131,0
38,Polygon,1,38,2,Smith St Connection Rd,168660,Hospitalisation,2002,September,Monday,17,Sideswipe,Multi-Vehicle,153.395201,-27.961931,Smith St Connection Rd,<Null>,Southport,Gold Coast City,4215,Southport,Gold Coast,South Eastern,SEQ South,South Coast,Southport - North,Southport,Gold Coast,Major Cities,Bonney,Moncrieff,State-controlled,Merge Lane,No traffic control,70 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,305,Veh'S Same Direction: Lane Side Swipe,Lane changes,0,1,1,0,2,2,0,0,0,0,0,0,0.001205,0
39,Polygon,1,39,2,South East Arterial Rd,9790,Hospitalisation,2002,August,Tuesday,14,Rear-end,Multi-Vehicle,153.021316,-27.470658,South East Arterial Rd,<Null>,Brisbane City,Brisbane City,4000,Brisbane City,North Brisbane,Brisbane,SEQ North,Metropolitan,Brisbane City,Brisbane Inner,Brisbane Inner City,Major Cities,Mcconnel,Brisbane,State-controlled,Merge Lane,No traffic control,70 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,0,1,0,0,1,1,0,0,0,0,0,1,0.001202,0
40,Polygon,1,40,2,Stumers Rd,80945,Hospitalisation,2002,May,Thursday,16,Overturned,Single Vehicle,152.767836,-27.516094,Stumers Rd,<Null>,Kholo,Brisbane City,4306,Karana Downs,Ipswich,Southern,SEQ North,Metropolitan,Karana Downs,Ipswich Inner,Ipswich,Inner Regional,Moggill,Blair,Locally-controlled,Forestry/National Park Road,No traffic control,60 km/h,Unsealed - Dry,Smoke/Dust,Daylight,Straight,Level,705,Off Path-Straight:Out Of Control On Cway,Out of control on straight,0,1,0,0,1,1,0,0,0,0,0,0,0.001202,0
41,Polygon,14,41,2,Unnamed Rd,72399,Hospitalisation,2002,December,Friday,13,Hit object,Single Vehicle,0,0,Forestry Rd,<Null>,Unknown,Unknown,<Null>,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Locally-controlled,Forestry/National Park Road,No traffic control,100 - 110 km/h,Unsealed - Wet,Clear,Daylight,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001131,0
42,Polygon,1,42,2,Wises Rd,152763,Hospitalisation,2002,September,Wednesday,8,Sideswipe,Multi-Vehicle,153.084109,-26.671139,Wises Rd,<Null>,Buderim,Sunshine Coast Region,4556,Maroochydore,Sunshine Coast,Central,SEQ North,North Coast and Wide Bay/Burnett,Buderim - North,Buderim,Sunshine Coast,Major Cities,Buderim,Fairfax,Locally-controlled,Median Opening,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,102,Veh'S Adjacent Approach: Right-Thru,Intersection from adjacent approaches,0,1,0,0,1,1,1,0,0,0,0,0,0.001198,0
43,Polygon,1,43,2,Beckett Rd,66042,Fatal,2003,November,Sunday,15,Sideswipe,Multi-Vehicle,152.990213,-27.371883,Beckett Rd,<Null>,Bridgeman Downs,Brisbane City,4035,Albany Creek,North Brisbane,Brisbane,SEQ North,Metropolitan,Bridgeman Downs,Bald Hills - Everton Park,Brisbane - North,Major Cities,Aspley,Dickson,Locally-controlled,Merge Lane,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,305,Veh'S Same Direction: Lane Side Swipe,Lane changes,1,0,0,0,1,1,1,0,0,0,0,0,0.001202,0
