OBJECTID,Shape,Join_Count,TARGET_FID,Crash_Year,Crash_Street,Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Crash_Street,Crash_Street_Intersecting,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other,Shape_Length,Shape_Area
15,Polygon,26,15,2,D'Aguilar Hwy,149427,Hospitalisation,2001,July,Tuesday,16,Rear-end,Multi-Vehicle,152.669234,-26.934074,D'Aguilar Hwy,Mary Smokes Creek Rd,Royston,Somerset Region,4515,Kilcoy,Moreton,Southern,SEQ North,North Coast and Wide Bay/Burnett,Kilcoy,Caboolture Hinterland,Moreton Bay - North,Inner Regional,Nanango,Blair,State-controlled,Intersection - T-Junction,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,0,2,0,0,2,2,0,0,0,0,0,0,0.022771,0.000002
16,Polygon,12,16,2,Dawson Hwy,240389,Hospitalisation,2001,April,Sunday,18,Hit animal,Other,150.539402,-24.32184,Dawson Hwy,Jefferis Rd,Dakenba,Banana Shire,4715,Biloela,Capricornia,Central,Central,Central Queensland,Banana,Biloela,Central Queensland,Outer Regional,Callide,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,609,Pass & Misc: Hit Animal,Hit animal,0,1,1,1,3,2,0,0,0,0,0,1,0.011846,0.000001
17,Polygon,23,17,2,Flinders Hwy,269603,Hospitalisation,2001,June,Sunday,18,Angle,Multi-Vehicle,146.265847,-20.083344,Flinders Hwy,Sadds La,Queenton,Charters Towers Region,4820,Charters Towers,Townsville,Northern,Northern,North Queensland,Charters Towers,Charters Towers - Ayr - Ingham,Townsville,Outer Regional,Traeger,Kennedy,State-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,408,Veh'S Manoeuvring: Entering From Footway,Vehicle leaving driveway,0,1,0,0,1,1,1,0,0,0,0,0,0.024005,0.000002
18,Polygon,12,18,2,Gore Hwy,220982,Hospitalisation,2001,December,Tuesday,10,Rear-end,Multi-Vehicle,151.926362,-27.570282,Gore Hwy,<Null>,Harristown,Toowoomba Region,4350,Toowoomba,Darling Downs,Southern,Southern,Downs South West,Drayton - Harristown,Toowoomba,Toowoomba,Inner Regional,Toowoomba South,Groom,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,0,1,0,0,1,2,0,0,0,0,0,0,0.01325,0.000001
19,Polygon,2,19,2,Gregory Hwy,241940,Hospitalisation,2001,May,Thursday,19,Hit object,Single Vehicle,148.160394,-23.624569,Gregory Hwy,<Null>,Emerald,Central Highlands Region,4720,Emerald,Capricornia,Central,Central,Central Queensland,Central Highlands - West,Central Highlands (qld),Central Queensland,Outer Regional,Gregory,Flynn,State-controlled,Railway Crossing,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Level,800,Off Path-Curve: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.001182,0
20,Polygon,18,20,2,Isis Hwy,199893,Hospitalisation,2001,February,Wednesday,12,Overturned,Single Vehicle,152.100607,-25.344066,Isis Hwy,Norgrove Rd,Golden Fleece,North Burnett Region,4621,Biggenden,Wide Bay Burnett,Central,Southern,North Coast and Wide Bay/Burnett,Gayndah - Mundubbera,Burnett,Wide Bay,Outer Regional,Callide,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,703,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,0,1,0,0,1,0,0,1,0,0,0,0,0.017837,0.000002
21,Polygon,35,21,2,Kennedy Hwy,256388,Hospitalisation,2001,December,Friday,11,Overturned,Single Vehicle,143.393082,-21.688821,Kennedy Hwy,Main St,Corfield,Winton Shire,4733,Winton,South West,Southern,Central,Central Queensland,Far Central West,Outback - South,Queensland - Outback,Very Remote,Gregory,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,701,Off Path-Straight: Left Off Cway,Off carriageway on straight,0,2,0,0,2,1,0,0,0,0,0,0,0.028611,0.000003
22,Polygon,10,22,2,Landsborough Hwy,239783,Hospitalisation,2001,February,Thursday,10,Hit object,Single Vehicle,146.591387,-25.777125,Landsborough Hwy,<Null>,Augathella,Murweh Shire,4477,Augathella,South West,Southern,Southern,Downs South West,Charleville,Outback - South,Queensland - Outback,Very Remote,Warrego,Maranoa,State-controlled,Bridge/Causeway,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,607,Veh'S On Path: Temporary Object On C'Way,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.011789,0.000001
23,Polygon,8,23,2,Leichhardt Hwy,231910,Hospitalisation,2001,February,Friday,19,Hit animal,Other,150.302951,-28.419538,Leichhardt Hwy,<Null>,Goondiwindi,Goondiwindi Region,4390,Goondiwindi,Darling Downs,Southern,Southern,Downs South West,Goondiwindi,Darling Downs (west) - Maranoa,Darling Downs - Maranoa,Outer Regional,Southern Downs,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,609,Pass & Misc: Hit Animal,Hit animal,0,1,0,0,1,1,0,0,0,0,0,1,0.009541,0.000001
24,Polygon,5,24,2,Mitchell Hwy,239496,Hospitalisation,2001,March,Saturday,9,Overturned,Single Vehicle,145.735344,-28.043579,Mitchell Hwy,<Null>,Cunnamulla,Paroo Shire,4490,Cunnamulla,South West,Southern,Southern,Downs South West,Far South West,Outback - South,Queensland - Outback,Very Remote,Warrego,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,705,Off Path-Straight:Out Of Control On Cway,Out of control on straight,0,2,0,0,2,1,0,0,0,0,0,0,0.006015,0.000001
25,Polygon,8,25,2,Moonie Hwy,231904,Hospitalisation,2001,January,Sunday,7,Non-collision - miscellaneous,Other,150.200868,-27.817795,Moonie Hwy,Wilkes St,Moonie,Western Downs Region,4406,Tara,South West,Southern,Southern,Downs South West,Tara,Darling Downs (west) - Maranoa,Darling Downs - Maranoa,Outer Regional,Warrego,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,900,Pass & Misc: Other,Other,0,1,0,0,1,0,0,1,0,0,0,0,0.008421,0.000001
26,Polygon,31,26,2,Mt Lindesay Hwy,67740,Hospitalisation,2001,April,Saturday,17,Overturned,Single Vehicle,152.980526,-28.009209,Mt Lindesay Hwy,Mundoolun Rd,Beaudesert,Scenic Rim Region,4285,Beaudesert,Logan,South Eastern,SEQ South,South Coast,Beaudesert,Beaudesert,Logan - Beaudesert,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,900,Pass & Misc: Other,Other,0,1,0,0,1,0,0,1,0,0,0,0,0.01462,0.000001
27,Polygon,2,27,2,Mulligan Hwy,292500,Hospitalisation,2001,August,Friday,20,Hit animal,Other,145.23975,-15.501718,Mulligan Hwy,<Null>,Cooktown,Cook Shire,4895,Cooktown,Far North,Northern,Northern,North Queensland,Cape York,Far North,Queensland - Outback,Remote,Cook,Leichhardt,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Level,609,Pass & Misc: Hit Animal,Hit animal,0,1,0,0,1,0,1,0,0,0,0,1,0.002304,0
28,Polygon,51,28,2,New England Hwy,218341,Hospitalisation,2001,October,Sunday,12,Hit object,Single Vehicle,151.813384,-26.931176,New England Hwy,North St,Neumgna,South Burnett Region,4614,Cooyar,South West,Southern,Southern,North Coast and Wide Bay/Burnett,Nanango,Burnett,Wide Bay,Outer Regional,Nanango,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Grade,800,Off Path-Curve: Other,Other,0,2,0,0,2,1,0,0,0,0,0,0,0.03342,0.000003
29,Polygon,2,29,2,Old Bruce Hwy,212991,Hospitalisation,2001,March,Sunday,2,Hit object,Single Vehicle,152.574114,-25.327127,Old Bruce Hwy,<Null>,Howard,Fraser Coast Region,4659,Howard,Wide Bay Burnett,Central,Southern,North Coast and Wide Bay/Burnett,Burrum - Fraser,Maryborough,Wide Bay,Inner Regional,Maryborough,Hinkler,Locally-controlled,Bridge/Causeway,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Grade,704,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,0,1,0,1,2,1,0,0,0,0,0,0,0.002348,0
30,Polygon,7,30,2,Palmerston Hwy,295793,Hospitalisation,2001,July,Sunday,5,Hit object,Single Vehicle,145.990815,-17.515262,Palmerston Hwy,Shaw Rd,Belvedere,Cassowary Coast Region,4860,Innisfail,Far North,Northern,Northern,North Queensland,Innisfail,Innisfail - Cassowary Coast,Cairns,Outer Regional,Hill,Kennedy,State-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Grade,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,0,1,1,0,2,0,0,1,0,0,0,0,0.006949,0.000001
31,Polygon,11,31,2,Peak Downs Hwy,258282,Hospitalisation,2001,March,Tuesday,18,Overturned,Single Vehicle,148.936082,-21.331184,Peak Downs Hwy,<Null>,Eton,Mackay Region,4741,Eton,Mackay,Central,Central,Central Queensland,Walkerston - Eton,Mackay,Mackay - Isaac - Whitsunday,Outer Regional,Mirani,Capricornia,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view obscured,Grade,805,Off Path-Curve: Out Of Control On Cway,Out of control on curve,0,1,0,0,1,0,0,1,0,0,0,0,0.012909,0.000001
32,Polygon,59,32,2,Warrego Hwy,150713,Fatal,2001,February,Friday,14,Rear-end,Multi-Vehicle,152.509198,-27.550833,Warrego Hwy,West St,Prenzlau,Somerset Region,4311,Marburg,Ipswich,Southern,SEQ North,North Coast and Wide Bay/Burnett,Lowood,Ipswich Hinterland,Ipswich,Inner Regional,Lockyer,Blair,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Grade,404,Veh'S Manoeuvring: Reversing,Hit parked vehicle,1,1,0,0,2,2,0,0,0,0,0,0,0.043466,0.000004
33,Polygon,4,33,2,Wide Bay Hwy,207274,Hospitalisation,2001,January,Friday,4,Hit object,Single Vehicle,152.454657,-26.087121,Wide Bay Hwy,<Null>,Lower Wonga,Gympie Region,4570,Kilkivan,Wide Bay Burnett,Central,Southern,North Coast and Wide Bay/Burnett,Kilkivan,Gympie - Cooloola,Wide Bay,Inner Regional,Gympie,Wide Bay,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,704,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,0,1,0,0,1,1,0,0,0,0,0,0,0.004778,0
34,Polygon,2,34,2,Balonne Hwy,238989,Hospitalisation,2002,July,Monday,1,Hit object,Single Vehicle,148.55785,-28.036855,Balonne Hwy,Wagoo Rd,St George,Balonne Shire,4487,Saint George,South West,Southern,Southern,Downs South West,Balonne,Darling Downs (west) - Maranoa,Darling Downs - Maranoa,Remote,Warrego,Maranoa,State-controlled,Intersection - T-Junction,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,700,Off Path-Straight: Other,Other,0,1,0,0,1,1,0,0,0,0,0,0,0.002411,0
35,Polygon,13,35,2,Barkly Hwy,304271,Hospitalisation,2002,August,Thursday,12,Rear-end,Multi-Vehicle,138.249166,-19.91706,Barkly Hwy,Smelter Rd,Camooweal,Mount Isa City,4828,Camooweal,Mount Isa,Northern,Northern,North Queensland,Mount Isa Region,Outback - North,Queensland - Outback,Very Remote,Traeger,Kennedy,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,0,1,0,0,1,2,0,0,0,0,0,0,0.009369,0.000001
36,Polygon,3,36,2,Barwon Hwy,231949,Hospitalisation,2002,April,Tuesday,18,Overturned,Single Vehicle,149.757705,-28.439629,Barwon Hwy,<Null>,Bungunya,Goondiwindi Region,4494,Talwood,Darling Downs,Southern,Southern,Downs South West,Inglewood - Waggamba,Darling Downs (west) - Maranoa,Darling Downs - Maranoa,Remote,Southern Downs,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,702,Off Path-Straight: Right Off Cway,Off carriageway on straight,0,1,0,0,1,0,0,1,0,0,0,0,0.003624,0
37,Polygon,18,37,2,Brisbane Valley Hwy,150795,Fatal,2002,September,Wednesday,8,Head-on,Multi-Vehicle,152.499909,-27.338747,Brisbane Valley Hwy,Coominya Connection Rd,Moombra,Somerset Region,4312,Lowood,Ipswich,Southern,SEQ North,North Coast and Wide Bay/Burnett,Esk,Ipswich Hinterland,Ipswich,Inner Regional,Nanango,Blair,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,201,Veh'S Opposite Approach: Head On,Head-on,2,4,0,0,6,2,0,0,0,0,0,0,0.015614,0.000001
38,Polygon,410,38,2,Bruce Hwy,147882,Hospitalisation,2002,March,Saturday,13,Head-on,Multi-Vehicle,152.868417,-26.391644,Bruce Hwy,Main Camp Rd,Pomona,Noosa Shire,4568,Pomona,Sunshine Coast,Central,SEQ North,North Coast and Wide Bay/Burnett,Noosa Hinterland,Noosa Hinterland,Sunshine Coast,Inner Regional,Noosa,Wide Bay,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Grade,201,Veh'S Opposite Approach: Head On,Head-on,0,1,3,0,4,4,0,0,0,0,0,0,0.272677,0.000026
39,Polygon,25,39,2,Bunya Hwy,207002,Hospitalisation,2002,October,Sunday,5,Hit object,Single Vehicle,152.067983,-26.199364,Bunya Hwy,Crawford Rd,Goomeri,Gympie Region,4601,Goomeri,Wide Bay Burnett,Central,Southern,North Coast and Wide Bay/Burnett,Kilkivan,Gympie - Cooloola,Wide Bay,Outer Regional,Nanango,Wide Bay,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,804,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,0,1,0,0,1,1,0,0,0,0,0,0,0.015998,0.000002
40,Polygon,20,40,2,Burnett Hwy,205777,Fatal,2002,January,Tuesday,15,Hit object,Single Vehicle,151.137704,-25.22452,Burnett Hwy,Carige Ave,Cynthia,North Burnett Region,4627,Eidsvold,Wide Bay Burnett,Central,Southern,North Coast and Wide Bay/Burnett,Monto - Eidsvold,Burnett,Wide Bay,Outer Regional,Callide,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,704,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,1,1,0,0,2,1,0,0,0,0,0,0,0.023811,0.000002
41,Polygon,23,41,2,Capricorn Hwy,240137,Hospitalisation,2002,May,Saturday,3,Hit object,Single Vehicle,147.416281,-23.700275,Capricorn Hwy,Mackenzie St,Willows,Central Highlands Region,4702,Anakie,Capricornia,Central,Central,Central Queensland,Central Highlands - West,Central Highlands (qld),Central Queensland,Remote,Gregory,Flynn,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Grade,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,0,1,0,0,1,1,0,0,0,0,0,0,0.02364,0.000002
42,Polygon,74,42,2,Captain Cook Hwy,286506,Hospitalisation,2002,February,Tuesday,8,Rear-end,Multi-Vehicle,145.745467,-16.880751,Captain Cook Hwy,Stratford Rd,Aeroglen,Cairns Region,4870,Cairns,Far North,Northern,Northern,North Queensland,Freshwater - Stratford,Cairns - North,Cairns,Outer Regional,Cairns,Leichhardt,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Veh'S Same Direction: Rear End,Rear-end,0,1,1,1,3,3,0,0,0,0,0,0,0.042457,0.000004
